Code,Code_Number,Description,Code_Family,Analytical_Domain,Analytical_Category,Analytical_Subcategory,Primary_Entity,Dashboard_Group,Traffic_Relevance_Score,Traffic_Relevance_Band,Keep_in_Main_Collision_Dashboard,Modeling_Role,Recommended_Use,Flag_Traffic_Core,Flag_Vehicle_or_RoadUser,Flag_Person_Profile,Flag_Location_Infrastructure,Flag_Behavior_Tactic,Flag_Severity_Harm,Flag_Jurisdiction_Admin
100,100,Suspect Impersonate,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
101,101,Aid victim,100s,Approach / Pretext,Approach Strategy,Helpful / familiar-contact pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
102,102,Blind,100s,Approach / Pretext,Approach Strategy,Disability / sympathy pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
103,103,Crippled,100s,Approach / Pretext,Approach Strategy,Disability / sympathy pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
104,104,Customer,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
105,105,Delivery,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
106,106,Doctor,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
107,107,God,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
108,108,Infirm,100s,Approach / Pretext,Approach Strategy,Disability / sympathy pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
109,109,Inspector,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
